,0
1269,1
2153,2
751,3
253,4
367,5
129,6
2130,7
881,8
8:36 PM,9
1340,10
10:11 AM,11
394,12
503,13
1130,14
100,15
1623,16
10:02 AM,17
2071,18
8:30 PM,19
12:02 AM,20
1456,21
3:43 PM,22
9:19 PM,23
621,24
1236,25
944,26
2132,27
2434,28
1611,29
656,30
1:34 PM,31
1478,32
1367,33
1702,34
11:40 AM,35
2172,36
9:43 AM,37
942,38
1260,39
1060,40
1360,41
1557,42
1321,43
2024,44
2195,45
372,46
11:12 AM,47
1255,48
1188,49
2127,50
92,51
634,52
586,53
201,54
317,55
11:52 AM,56
1906,57
1584,58
2421,59
597,60
CO-1090-BOS-IAH,61
1092,62
746,63
690,64
9:38 PM,65
613,66
1816,67
453,68
1982,69
797,70
421,71
AA-446-DFW-PHL,72
2163,73
1612,74
1:12 PM,75
514,76
1910,77
2:27 PM,78
AA-789-ORD-DEN,79
700,80
989,81
256,82
1343,83
1855,84
220,85
452,86
1719,87
38,88
7:35 AM,89
2435,90
56,91
1921,92
1730,93
518,94
1671,95
769,96
79,97
1284,98
2037,99
1266,100
2:58 PM,101
11:30 AM,102
533,103
280,104
963,105
393,106
249,107
335,108
1148,109
573,110
1836,111
1376,112
576,113
9:13 AM,114
477,115
1258,116
2346,117
415,118
2378,119
153,120
966,121
1088,122
9:01 AM,123
724,124
2337,125
1077,126
1045,127
1811,128
1973,129
546,130
757,131
230,132
756,133
438,134
863,135
1825,136
2328,137
2029,138
1409,139
397,140
548,141
1154,142
157,143
960,144
1139,145
1812,146
395,147
7:37 AM,148
212,149
7:31 AM,150
12:10 PM,151
2125,152
961,153
1326,154
1103,155
1110,156
9:06 PM,157
1780,158
1987,159
490,160
998,161
1065,162
670,163
184,164
2190,165
2295,166
26,167
196,168
1:47 PM,169
1068,170
1904,171
1031,172
890,173
1573,174
1136,175
2139,176
2011-12-01 9:19 PM (Estimated),177
7:36 PM,178
635,179
1083,180
2362,181
1970,182
1842,183
59,184
1657,185
1006,186
1959,187
1662,188
1175,189
CO-1023-IAH-DEN,190
3:00 PM,191
1080,192
1818,193
AA-3063-SLC-LAX,194
1676,195
1744,196
1704,197
4:44 PM,198
8:02 AM,199
1221,200
1:18 PM,201
12:21 AM,202
1132,203
11:15 AM,204
156,205
2208,206
315,207
931,208
1415,209
104,210
928,211
996,212
1641,213
1645,214
346,215
2233,216
1822,217
1496,218
2111,219
2372,220
1726,221
475,222
210,223
11:18 AM,224
1546,225
3:52 PM,226
1577,227
2319,228
2262,229
1373,230
2302,231
2344,232
6:33 PM,233
1916,234
2408,235
2256,236
1829,237
7:41 PM,238
1620,239
2303,240
10:22 PM,241
839,242
2399,243
916,244
254,245
2085,246
420,247
461,248
110,249
2147,250
609,251
1086,252
5:40 PM,253
1316,254
7:25 PM,255
4:25 PM,256
1838,257
2040,258
499,259
2:48 PM,260
1944,261
279,262
43,263
687,264
2003,265
99,266
2306,267
430,268
840,269
12:57 AM,270
3:07 PM,271
2268,272
2100,273
1381,274
2082,275
9,276
93,277
1262,278
1320,279
1461,280
1416,281
535,282
1513,283
1931,284
265,285
1119,286
715,287
2409,288
1363,289
273,290
1830,291
1146,292
1480,293
311,294
468,295
860,296
992,297
380,298
AA-3-JFK-LAX,299
189,300
1636,301
AA-1917-JFK-MCO,302
2205,303
1359,304
1778,305
1126,306
2055,307
7:49 AM,308
9:12 PM,309
241,310
530,311
AA-4307-ORD-DTW,312
2176,313
513,314
7:59 PM,315
AA-2957-DFW-CVG,316
172,317
433,318
805,319
1:43 PM,320
130,321
5:39 PM,322
5:24 AM,323
272,324
7:45 PM,325
553,326
1011,327
225,328
1073,329
2264,330
11:35 PM,331
1030,332
12:05 PM,333
355,334
193,335
7:08 AM,336
2361,337
138,338
7:23 PM,339
1224,340
7:27 AM,341
2017,342
824,343
1070,344
1935,345
261,346
1873,347
1748,348
271,349
1655,350
412,351
281,352
2404,353
106,354
1820,355
505,356
2133,357
283,358
554,359
1942,360
1967,361
1457,362
1960,363
209,364
2001,365
594,366
11:47 AM,367
1588,368
373,369
213,370
1569,371
531,372
6:38 PM,373
929,374
872,375
1237,376
2116,377
298,378
9:53 PM,379
103,380
1276,381
9:08 AM,382
1213,383
985,384
7:42 PM,385
1779,386
2015,387
2027,388
2213,389
2338,390
1308,391
2259,392
611,393
955,394
10:29 PM,395
770,396
1037,397
1739,398
2281,399
1022,400
1613,401
1318,402
1105,403
1511,404
422,405
1517,406
12:56 PM,407
7:04 AM,408
1796,409
1936,410
625,411
866,412
1515,413
7:22 AM,414
1633,415
75,416
567,417
1475,418
1885,419
159,420
12:03 PM,421
900,422
2237,423
1395,424
1433,425
1580,426
389,427
2278,428
7:29 AM,429
1254,430
560,431
11:45 AM,432
600,433
1490,434
11:29 PM,435
1090,436
1209,437
131,438
761,439
775,440
661,441
1044,442
1250,443
855,444
2357,445
2186,446
4:09 PM,447
2053,448
5:17 PM,449
5:08 PM,450
2390,451
2324,452
1434,453
377,454
10:35 AM,455
1526,456
1204,457
2094,458
1795,459
1581,460
1634,461
969,462
57,463
72,464
2356,465
1962,466
2241,467
926,468
665,469
11:32 AM,470
1566,471
1429,472
2067,473
1396,474
1062,475
4:22 PM,476
8:48 AM,477
11:41 AM,478
1765,479
1489,480
703,481
970,482
1851,483
496,484
2173,485
659,486
1528,487
5:11 AM,488
1039,489
3:11 AM,490
UA-3050-PHX-CLT,491
11:56 AM,492
1273,493
375,494
1393,495
1:48 PM,496
812,497
1668,498
AA-3804-PHL-ORD,499
1271,500
2047,501
1877,502
1852,503
2077,504
492,505
528,506
819,507
2364,508
2192,509
1227,510
1477,511
UA-3373-IAD-PHL,512
480,513
8:29 PM,514
1963,515
390,516
1930,517
35,518
339,519
1473,520
709,521
1863,522
4:35 PM,523
2189,524
1874,525
2290,526
1279,527
1406,528
54,529
5:30 PM,530
1190,531
1746,532
743,533
1727,534
809,535
482,536
2402,537
CO-58-DEN-IAH,538
1170,539
1955,540
226,541
1494,542
9:22 AM,543
353,544
4,545
6:19 AM,546
12:07 PM,547
1437,548
2400,549
2296,550
2350,551
557,552
409,553
6:41 AM,554
1:06 PM,555
444,556
1482,557
7:16 AM,558
9:16 AM,559
2045,560
7:26 PM,561
2109,562
2180,563
2263,564
1107,565
1342,566
2327,567
451,568
1195,569
1392,570
1914,571
285,572
250,573
1728,574
2160,575
11:54 PM,576
1724,577
307,578
2384,579
2014,580
2392,581
1097,582
485,583
5:49 AM,584
10:30 PM,585
2123,586
2225,587
1426,588
1738,589
2031,590
2316,591
2:39 PM,592
1756,593
2092,594
796,595
1606,596
1474,597
2285,598
7:10 AM,599
1507,600
2194,601
181,602
1854,603
2341,604
901,605
322,606
2340,607
1169,608
UA-3099-PHX-PHL,609
1939,610
1878,611
2201,612
1:42 PM,613
297,614
1965,615
3:10 PM,616
267,617
418,618
1275,619
2283,620
98,621
AA-1007-MIA-PHX,622
11:43 AM,623
1299,624
4:12 PM,625
1201,626
1297,627
1422,628
1975,629
728,630
1646,631
2433,632
1929,633
1667,634
1361,635
278,636
1617,637
197,638
671,639
1683,640
1141,641
71,642
534,643
1670,644
AA-4277-CVG-JFK,645
1285,646
614,647
2:38 PM,648
1788,649
1703,650
1832,651
10:28 AM,652
1864,653
1419,654
1439,655
76,656
1425,657
1774,658
708,659
1514,660
2221,661
2431,662
1679,663
7:05 AM,664
1924,665
234,666
10:55 AM,667
29,668
2046,669
11:58 PM,670
231,671
1798,672
260,673
179,674
AA-400-DFW-JFK,675
9:54 AM,676
2293,677
877,678
510,679
109,680
1784,681
277,682
1082,683
356,684
997,685
1733,686
2414,687
340,688
2000,689
147,690
764,691
1200,692
1247,693
1379,694
174,695
758,696
908,697
1917,698
CO-1561-PHX-IAH,699
427,700
2039,701
205,702
580,703
2006,704
882,705
332,706
693,707
2:41 PM,708
44,709
2113,710
639,711
416,712
63,713
1115,714
2396,715
3:59 PM,716
8:55 AM,717
1142,718
1194,719
388,720
1538,721
37,722
1805,723
359,724
337,725
1345,726
478,727
2170,728
460,729
1466,730
1826,731
2:36 PM,732
1225,733
1087,734
828,735
512,736
10:18 AM,737
749,738
34,739
2:55 PM,740
195,741
1567,742
2168,743
