2176,aa,12:15 PM,2:45 PM,2176,AA-3756-ORD-SLC,12:41 PM,2:50 PM
2341,airtravelcenter,,,2341,UA-938-DEN-ORD,4:37 PM,7:23 PM
2235,flights,2:55 PM,5:55 PM,2235,AA-1917-JFK-MCO,3:27 PM,5:43 PM
18,orbitz,2:55 PM,4:53 PM,18,UA-2708-EWR-CLT,2:52 PM,4:44 PM
1102,gofox,,,1102,UA-414-LAX-SFO,6:10 AM,7:17 AM
32,flightstats,8:41 AM,9:54 AM,32,UA-3925-IAD-ORF,8:42 AM,9:43 AM
64,allegiantair,1:30 PM,3:50 PM,64,AA-649-ORD-SNA,,
1875,quicktrip,2:55 PM,5:00 PM,1875,UA-2314-ATL-PHL,2:46 PM,4:47 PM
518,flightview,6:00 AM,9:20 AM,518,AA-466-IAH-MIA,6:09 AM,9:05 AM
1369,gofox,8:25 PM,11:50 PM,1369,AA-2312-DFW-DTW,,
2206,helloflight,,,2206,AA-616-DFW-DTW,10:11 AM,1:11 PM
2293,flightstats,7:45 PM,10:30 PM,2293,AA-1733-ORD-PHX,7:58 PM,10:30 PM
1411,flightstats,6:59 AM,10:34 AM,1411,AA-1165-JFK-MIA,7:22 AM,10:04 AM
683,myrateplan,,,683,UA-248-PHX-ORD,1:09 PM,4:52 PM
923,myrateplan,,,923,UA-6273-YYC-SFO,7:41 AM,8:33 AM
803,gofox,,,803,CO-50-CLE-EWR,4:02 PM,5:26 PM
978,flightview,8:00 AM,11:55 AM,978,UA-397-JFK-SFO,8:49 AM,11:58 AM
2112,flightview,7:30 AM,8:00 AM,2112,AA-3979-CVG-ORD,8:04 AM,7:57 AM
2073,myrateplan,,,2073,AA-4307-ORD-DTW,6:56 PM,8:38 PM
657,businesstravellogue,5:30 PM,6:40 PM,657,CO-4888-IAH-DAL,,
126,gofox,,,126,AA-3063-SLC-LAX,8:40 PM,9:11 PM
363,gofox,11:55 AM,6:17 PM,363,UA-3099-PHX-PHL,11:55 AM,6:17 PM
2440,gofox,,,2440,CO-52-IAH-LAX,7:56 AM,9:09 AM
1445,ifly,8:35 AM,10:40 AM,1445,AA-415-BOS-ORD,8:56 AM,10:16 AM
12,panynj,,,12,UA-2708-EWR-CLT,3:04 PM,4:24 PM
601,helloflight,,,601,AA-789-ORD-DEN,1:20 PM,2:49 PM
763,flightexplorer,,,763,AA-59-JFK-SFO,7:40 AM,10:52 AM
854,panynj,7:55 AM,11:05 AM,854,AA-2957-DFW-CVG,8:05 AM,11:00 AM
1149,allegiantair,,,1149,UA-3373-IAD-PHL,8:37 AM,9:13 AM
2057,flightview,3:05 PM,6:30 PM,2057,AA-85-JFK-SFO,3:38 PM,6:43 PM
1436,panynj,,,1436,AA-415-BOS-ORD,8:56 AM,10:10 AM
1665,CO,4:00 PM,7:05 PM,1665,CO-45-EWR-MIA,3:58 PM,6:36 PM
1682,allegiantair,4:00 PM,7:05 PM,1682,CO-45-EWR-MIA,4:15 PM,6:36 PM
856,foxbusiness,7:55 AM,11:05 AM,856,AA-2957-DFW-CVG,8:05 AM,11:00 AM
514,flylouisville,6:00 AM,9:20 AM,514,AA-466-IAH-MIA,6:08 AM,9:05 AM
1781,world-flight-tracker,7:10 AM,9:40 AM,1781,AA-3859-IAH-ORD,7:16 AM,9:32 AM
99,gofox,,,99,UA-382-IAD-LAX,12:56 PM,3:21 PM
428,flightview,12:00 PM,1:45 PM,428,UA-2945-PHL-CLT,12:08 PM,1:14 PM
1677,world-flight-tracker,4:00 PM,7:05 PM,1677,CO-45-EWR-MIA,3:58 PM,6:36 PM
1551,businesstravellogue,7:10 AM,9:35 AM,1551,AA-643-MIA-ORD,7:30 AM,9:31 AM
289,flightview,6:30 PM,7:25 PM,289,AA-1640-MIA-MCO,,
1371,allegiantair,8:25 PM,11:50 PM,1371,AA-2312-DFW-DTW,,
116,flytecomm,,,116,AA-3063-SLC-LAX,8:40 PM,9:12 PM
1736,travelocity,4:25 PM,12:29 AM,1736,UA-233-LAX-JFK,,Dec 01 - Not Available
359,quicktrip,11:55 AM,6:17 PM,359,UA-3099-PHX-PHL,11:43 AM,5:38 PM
966,ua,8:00 AM,11:55 AM,966,UA-397-JFK-SFO,8:29 AM,11:58 AM
1696,flylouisville,4:00 PM,6:40 PM,1696,AA-3786-IAH-ORD,4:12 PM,6:15 PM
792,airtravelcenter,2:55 PM,4:49 PM,792,CO-50-CLE-EWR,,
1163,flightaware,7:25 AM,10:43 AM,1163,AA-2525-DFW-MIA,7:39 AM,10:43 AM
2380,boston,11:08 PM,5:11 AM,2380,UA-828-SFO-ORD,,
149,world-flight-tracker,7:10 AM,3:30 PM,149,AA-222-LAX-BOS,7:31 AM,3:14 PM
1688,airtravelcenter,,,1688,AA-3786-IAH-ORD,4:12 PM,6:11 PM
650,helloflight,,,650,CO-4888-IAH-DAL,5:38 PM,6:19 PM
1650,flightstats,11:50 AM,3:50 PM,1650,AA-446-DFW-PHL,12:12 PM,4:09 PM
2170,travelocity,12:10 PM,2:15 PM,2170,AA-4277-CVG-JFK,12:01 PM,1:43 PM
925,flytecomm,,,925,UA-6273-YYC-SFO,7:41 AM,8:33 AM
1235,flytecomm,,,1235,AA-484-DFW-MIA,4:29 PM,7:37 PM
1674,flylouisville,4:00 PM,7:05 PM,1674,CO-45-EWR-MIA,3:58 PM,6:36 PM
1379,flightarrival,8:25 PM,11:50 PM,1379,AA-2312-DFW-DTW,8:29 PM,11:35 PM
695,flightstats,12:57 PM,5:15 PM,695,UA-248-PHX-ORD,1:32 PM,5:34 PM
742,airtravelcenter,2:30 PM,7:03 PM,742,CO-62-IAH-EWR,,
1206,usatoday,10:15 AM,12:10 PM,1206,AA-1664-MIA-ATL,10:19 AM,11:50 AM
926,flights,,,926,UA-6273-YYC-SFO,7:27 AM,8:45 AM
1843,orbitz,9:15 AM,12:18 PM,1843,CO-1193-EWR-MCO,9:14 AM,12:09 PM
