,0
M. Moni,1
View management in multimedia databases,2
"Michael J. Carey, David J. DeWitt",3
"York Sure, Steffen Staab, Rudi Studer",4
"Yixiu Huang, Prasad Sistla, Ouri Wolfson",5
Index Concurrency Control in Firm Real-Time Database Systems,6
"J. K. Lawder, P. J. H. King",7
"Dimitrios Gunopulos, Gautam Das",8
"Jeffrey Scott Vitter, Min Wang",9
Curtis E. Dyreson,10
Why decision support fails and how to fix it,11
"Yingwei Cui, Jennifer Widom, Janet L. Wiener",12
"Raymond T. Ng, Jinhai Yang",13
DBCache: database caching for web application servers,14
Electronic market: the roadmap for university libraries and members to survive in the information jungle,15
"PM3: An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance",16
"Arjen P. de Vries, Nikos Mamoulis, Niels Nes, Martin Kersten",17
An approach to confidence based page ranking for user oriented Web search,18
"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",19
Optimization of Run-time Management of Data Intensive Web-sites,20
A Database System for Real-Time Event Aggregation in Telecommunication,21
"Richard Hull, Gang Zhou",22
Frank Leymann,23
Efficiently Publishing Relational Data as XML Documents,24
M-tree: An Efficient Access Method for Similarity Search in Metric Spaces,25
A consensus glossary of temporal database concepts,26
Query evaluation in deductive databases with alternating fixpoint semantics,27
"Svein-Olaf Hvasshovd, &#216;ystein Torbj&#248;rnsen, Svein Erik Bratsberg, Per Holager",28
"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",29
On applying hash filters to improving the execution of multi-join queries,30
"Swarup Acharya, Michael Franklin, Stanley Zdonik",31
Analysis of predictive spatio-temporal queries,32
Finding Intensional Knowledge of Distance-Based Outliers,33
Lore: a database management system for semistructured data,34
"Kenneth C. Cox, Stephen G. Eick, Taosong He",35
The LHAM log-structured history data access method,36
Middle East Technical University Software Research and Development Center,37
"Michael J. Carey, Laura M. Haas, Vivekananda Maganty, John H. Williams",38
"Odysseas G. Tsatalos, Marvin H. Solomon, Yannis E. Ioannidis",39
"Alberto O. Mendelzon, Alejandro A. Vaisman",40
"Yun-Wu Huang, Ning Jing, Elke A. Rundensteiner",41
"Alfons Kemper, Donald Kossmann",42
Minimal probing: supporting expensive predicates for top-k queries,43
"Self-adaptive, on-line reclustering of complex object data",44
"Narayanan Shivakumar, H&#233;ctor Garc&#237;a-Molina",45
Very Large Data Bases,46
"Wen-Syan Li, Chris Clifton",47
Efficient similarity search and classification via rank aggregation,48
"Reza Sadri, Carlo Zaniolo, Amir M. Zarkesh, Jafar Adibi",49
DataBlitz: A High Performance Main-Memory Storage Manager,50
Design and Implementation of a Genetic-Based Algorithm for Data Mining,51
"Serge Abiteboul, Bernd Amann, Sophie Cluet, Adi Eyal, Laurent Mignet, Tova Milo",52
Privacy-preserving data mining,53
Data model for extensible support of explicit relationships in design databases,54
"Tiziana Catarci, Giuseppe Santucci",55
"Serge Abiteboul, Catriel Beeri",56
Experiences in mining aviation safety data,57
"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",58
Chebel Mina,59
Fast parallel similarity search in multimedia databases,60
Providing better support for a class of decision support queries,61
2000,62
LOF: identifying density-based local outliers,63
1999,64
The impact of object technology on commercial transaction processing,65
"Qiong Luo, Jeffrey F. Naughton",66
"Wee Teck Ng, Peter M. Chen",67
CONTROL: continuous output and navigation technology with refinement on-line,68
Incremental maintenance of views with duplicates,69
"Chengkai Li, Philip Bohannon, P. P. S. Narayan",70
"Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Honguk Woo, Bruce G. Lindsay, Jeffrey F. Naughton",71
Cost models for overlapping and multiversion structures,72
"David M. Malon, Edward N. May",73
"N. B. Idris, W. A. Gray, R. F. Churchhouse",74
"Richard M. Karp, Scott Shenker, Christos H. Papadimitriou",75
"German Shegalov, Michael Gillmann, Gerhard Weikum",76
"Maria Zemankova, Yannis E. Ioannidis",77
Expiring Data in a Warehouse,78
Report on second international workshop on advanced issues of E-commerce and Web-based information systems,79
"Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu",80
Guest editorial,81
Cache Conscious Algorithms for Relational Query Processing,82
Analyzing energy behavior of spatial access methods for memory-resident data,83
"Eric N. Hanson, I.-Cheng Chen, Roxana Dastur, Kurt Engel, Vijay Ramaswamy, Wendy Tan, Chun Xu",84
Structural matching and discovery in document databases,85
"Abhinandan Das, Johannes Gehrke, Mirek Riedewald",86
"Peter Buneman, Atsushi Ohori",87
"Pedro Jos&#233; Marr&#243;n, Georg Lausen",88
"Ulrich G&#252;ntzer, Wolf-Tilo Balke, Werner Kie&#223;ling",89
"Arnon Rosenthal, Leonard J. Seligman",90
Parametric query optimization,91
"Database tuning: principles, experiments, and troubleshooting techniques (part II)",92
Querying network directories,93
"Iakovos Motakis, Carlo Zaniolo",94
"Hans J. Lenz, Panos Vassiliadis, Manfred Jeusfeld, Martin Staudt",95
Maintenance of data cubes and summary tables in a warehouse,96
DEVise (demo abstract): integrated querying and visual exploration of large datasets,97
"Ling Ling Yan, Ren&#233;e J. Miller, Laura M. Haas, Ronald Fagin",98
Semantic B2B integration: issues in ontology-based approaches,99
Introduction to constraint databases,100
"Avi Silberschatz, Stan Zdonik",101
"M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",102
Approximating Aggregate Queries about Web Pages via Random Walks,103
"Sriram Padmanabhan, Bishwaranjan Bhattacharjee, Tim Malkemus, Leslie Cranston, Matthew Huras",104
Object Fusion in Mediator Systems,105
Quantifiable data mining using ratio rules,106
SQL query optimization: reordering for a general class of queries,107
Query previews for networked information systems: a case study with NASA environmental data,108
C. Gregory Doherty,109
Control strategies for complex relational query processing in shared nothing systems,110
"Ling Liu, Calton Pu, David Buttler, Wei Han, Henrique Paques, Wei Tang",111
Solving satisfiability and implication problems in database systems,112
Enterprise transaction processing on Windows NT,113
"M. P. Atkinson, L. Dayn&#232;s, M. J. Jordan, T. Printezis, S. Spence",114
Leonidas Fegaras,115
Italian Electronic Identity Card - principle and architecture,116
Effective &; Efficient Document Ranking without using a Large Lexicon,117
Algebraic query optimisation for database programming languages,118
Metadata for multimedia documents,119
An annotated bibliography of benchmarks for object databases,120
Ptool: a scalable persistent object manager,121
Ted Mihalisin,122
STHoles: a multidimensional workload-aware histogram,123
"Suparna Bhattacharya, C. Mohan, Karen W. Brannon, Inderpal Narang, Hui-I Hsiao, Mahadevan Subramanian",124
"Dong Keun Shin, Arnold Charles Meltzer",125
"Marianne Winslett, Kenneth Smith, Xiaolei Qian",126
NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,127
Approximate Query Processing: Taming the TeraBytes,128
Philip Wadler,129
"Thomas Zurek, Markus Sinnwell",130
Andrew E. Wade,131
Improved histograms for selectivity estimation of range predicates,132
"Mehmet Altinel, Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Bruce G. Lindsay, Honguk Woo, Larry Brown",133
Index nesting - an efficient approach to indexing in object-oriented databases,134
A flexible and recoverable client/server database event notification system,135
"Sirish Chandrasekaran, Owen Cooper, Amol Deshpande, Michael J. Franklin, Joseph M. Hellerstein, Wei Hong, Sailesh Krishnamurthy, Samuel R. Madden, Fred Reiss, Mehul A. Shah",136
Order-of-magnitude advantage on TPC-C through massive parallelism,137
The distributed information search component (Disco) and the World Wide Web,138
ProbView: a flexible probabilistic database system,139
"Srinivasa Narayanan, Subbu N. Subramanian",140
"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",141
Oracle8i Index-Organized Table and Its Application to New Domains,142
"Krithi Ramamritham, Raju Sivasankaran, John A. Stankovic, Don T. Towsley, Ming Xiong",143
"Chim-fu Yeung, Sheung-lun Hung, Kam-yiu Lam",144
Optimizing multiple dimensional queries simultaneously in multidimensional databases,145
Performance tradeoffs for client-server query processing,146
"Apostol Natsev, Yuan-Chi Chang, John R. Smith, Chung-Sheng Li, Jeffrey Scott Vitter",147
Panel: Is Generic Metadata Management Feasible?,148
Steven J. DeRose,149
