,0
"Kaushik Dutta, Anindya Datta, Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas",1
"Wei Wang, Jiong Yang, Richard R. Muntz",2
Hot mirroring: a method of hiding parity update penalty and degradation during rebuilds for RAID5,3
Joseph M. Hellerstein,4
Distance-based indexing for high-dimensional metric spaces,5
"Philip A. Bernstein, Shankar Pal, David Shutt",6
Query caching and optimization in distributed mediator systems,7
An annotated bibliography on active databases (short version),8
Data and knowledge base research at Hong Kong University of Science and Technology,9
"Takeshi Fukuda, Yasuhiko Morimoto, Shimichi Morishita, Takeshi Tokuyama",10
"Hyoseop Shin, Bongki Moon, Sukho Lee",11
Memory management during run generation in external sorting,12
Diluting ACID,13
Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,14
HyperFile: a data and query model for documents,15
"Yunyue Zhu, Dennis Shasha",16
Vernon Hoffner,17
"Kristian Torp, Christian S. Jensen, Richard Thomas Snodgrass",18
Integration of Data Mining with Database Technology,19
"H. V. Jagadish, Nick Koudas, Divesh Srivastava",20
Implementing database operations using SIMD instructions,21
Semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,22
"Thin-Fong Tsuei, Allan N. Packer, Keng-Tai Ko",23
"Tengjiao Wang, Shiwei Tang, Dongqing Yang, Jun Gao, Yuqing Wu, Jian Pei",24
Repeating History Beyond ARIES,25
Gerhard Weikum,26
"Chim-fu Yeung, Sheung-lun Hung, Kam-yiu Lam",27
Aris M. Ouksel,28
Response to A close look at the IFO data model,29
"Esther Pacitti, Eric Simon",30
DBCache: database caching for web application servers,31
"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",32
Data streams: fresh current or stagnant backwater? (panel),33
Minimal probing: supporting expensive predicates for top-k queries,34
Highly concurrent cache consistency for indices in client-server database systems,35
"Hongjun Lu, Guoren Wang, Ge Yu, Yubin Bao, Jianhua Lv, Yaxin Yu",36
CORPORATE The Paradise Team,37
The hyperion project: from data integration to data coordination,38
